	accession_number	organism_name	path
3775	M59151	Ectothiorhodospira shaposhnikovii	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodospira
3776	AY298904	Ectothiorhodosinus mongolicus	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Ectothiorhodosinus
3777	AGFD01000020	Thiorhodospira sibirica	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiorhodospira
3778	KP052777	Halofilum ochraceum	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halofilum
3779	CP017448	Acidihalobacter aeolianus	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter
3780	JQSG02000006	Acidihalobacter yilgarnensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter
3781	CP019434	Acidihalobacter ferrooxydans	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Acidihalobacter
3782	LT578364	Spiribacter roseus	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Spiribacter
3783	CP005990	Spiribacter curvatus	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Spiribacter
3784	EU557314	Spiribacter vilamensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Spiribacter
3785	CP005963	Spiribacter salinus	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Spiribacter
3786	M26631	Arhodomonas aquaeolei	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Arhodomonas
3787	HQ833040	Arhodomonas recens	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Arhodomonas
3788	HM038001	Nitrococcus mobilis	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Nitrococcus
3789	KC577145	Aquisalimonas halophila	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Aquisalimonas
3790	HF954114	Aquisalimonas lutea	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Aquisalimonas
3791	AM404263	Aquisalimonas asiatica	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Aquisalimonas
3792	X93477	Halorhodospira abdelmalekii	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira
3793	FR749892	Halorhodospira halochloris	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira
3794	CP000544	Halorhodospira halophila	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira
3795	AB643473	Halorhodospira neutriphila	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Halorhodospira
3796	KU720568	Natronospira proteinivora	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Natronospira
3797	AF114783	Alkalispirillum mobile	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Alkalispirillum
3798	AF406554	Alkalilimnicola ehrlichii	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Alkalilimnicola
3799	AJ404972	Alkalilimnicola halodurans	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Alkalilimnicola
